,开发银行,进出口银行,农业发展银行,中国银行,中国建设银行,中国工商银行,中国农业银行,兴业银行,广发银行,交通银行
开发银行,0.0,0.0021114746977064407,0.004006229986050262,0.012876795104850514,0.0049794419580096935,0.008582787576457942,0.009163150996314276,0.0045484816169650616,0.0007185888240144119,0.004843223699448296
进出口银行,0.00048612811922485,0.0,0.0003159173641246547,0.001015419279987036,0.0003926614756675618,0.0006768087796850737,0.0007225742206292531,0.00035867744193531246,5.666541560582793e-05,0.00038191977752736263
农业发展银行,0.00017744108432154242,6.07752762247642e-05,0.0,0.0003706370624460048,0.0001433249286728104,0.0002470412201975755,0.00026374601291464215,0.0001309204543036142,2.0683380349735128e-05,0.00013940411337726473
中国银行,0.004892438986254083,0.0016757073590893212,0.003179421982712331,0.0,0.006174659248713281,0.01064291724567067,0.011362585511361867,0.003609763416303333,0.0005702860573552104,0.00600574447128189
中国建设银行,0.005033291437027339,0.0017239506767821229,0.0032709569777456086,0.016427321846954477,0.0,0.010949324945724053,0.011689712333156183,0.00371368786489155,0.000586704491810087,0.006178648789531884
中国工商银行,0.005721921706931618,0.001959813160547871,0.003718473282853617,0.01867482752366805,0.0072215344713312075,0.0,0.013289041491779079,0.004221776440475977,0.000666974525366469,0.007023981239840379
中国农业银行,0.005055560817427113,0.0017315781535320852,0.0032854290555340824,0.01650000316965083,0.0063805323779131526,0.010997769325587157,0.0,0.0037301187687611135,0.0005893003171609217,0.006205985708518629
兴业银行,0.004480183260180728,0.0015345058119777919,0.002911511657890837,0.009358159465279778,0.003618789575490465,0.0062375066266963045,0.006659283426482832,0.0,0.0005222315607523835,0.0035197934995786816
广发银行,0.0009868946515840522,0.000338020900199613,0.0006413477119864906,0.0020614151226891397,0.0007971468732097344,0.001373997796879931,0.0014669067793251652,0.0007281554699083012,0.0,0.0007753400201924753
交通银行,0.0025725604668376313,0.0008811266769179891,0.001671815493887792,0.008396151760378128,0.003246782294896906,0.0055962983360575485,0.0059747169805733965,0.0018980992272994753,0.0002998699360508529,0.0
