阈值,最大连通子图,第二大连通子图
0.0,195,0
1.001001001001001e-05,181,1
2.002002002002002e-05,158,1
3.003003003003003e-05,140,1
4.004004004004004e-05,119,1
5.005005005005005e-05,108,1
6.006006006006006e-05,95,1
7.007007007007007e-05,90,1
8.008008008008008e-05,83,1
9.009009009009009e-05,80,1
0.0001001001001001001,77,1
0.0001101101101101101,73,1
0.00012012012012012012,68,1
0.00013013013013013012,64,1
0.00014014014014014013,62,1
0.00015015015015015014,58,1
0.00016016016016016016,57,1
0.00017017017017017017,54,1
0.00018018018018018018,52,1
0.0001901901901901902,51,1
0.0002002002002002002,50,1
0.0002102102102102102,49,1
0.0002202202202202202,48,1
0.00023023023023023022,47,1
0.00024024024024024023,45,1
0.00025025025025025025,44,1
0.00026026026026026023,44,1
0.0002702702702702703,43,1
0.00028028028028028026,43,1
0.0002902902902902903,43,1
0.0003003003003003003,43,1
0.00031031031031031033,42,1
0.0003203203203203203,42,1
0.0003303303303303303,41,1
0.00034034034034034034,40,1
0.0003503503503503503,40,1
0.00036036036036036037,39,1
0.00037037037037037035,38,1
0.0003803803803803804,37,1
0.0003903903903903904,36,1
0.0004004004004004004,36,1
0.0004104104104104104,35,1
0.0004204204204204204,35,1
0.00043043043043043043,34,1
0.0004404404404404404,34,1
0.00045045045045045046,33,1
0.00046046046046046044,33,1
0.0004704704704704705,33,1
0.00048048048048048047,33,1
0.0004904904904904905,33,1
0.0005005005005005005,33,1
0.0005105105105105105,33,1
0.0005205205205205205,33,1
0.0005305305305305305,33,1
0.0005405405405405405,33,1
0.0005505505505505506,33,1
0.0005605605605605605,33,1
0.0005705705705705706,33,1
0.0005805805805805806,33,1
0.0005905905905905905,32,1
0.0006006006006006006,32,1
0.0006106106106106106,31,1
0.0006206206206206207,31,1
0.0006306306306306306,31,1
0.0006406406406406406,30,1
0.0006506506506506507,30,1
0.0006606606606606606,30,1
0.0006706706706706706,30,1
0.0006806806806806807,30,1
0.0006906906906906907,30,1
0.0007007007007007007,30,1
0.0007107107107107107,30,1
0.0007207207207207207,29,1
0.0007307307307307307,29,1
0.0007407407407407407,29,1
0.0007507507507507507,29,1
0.0007607607607607608,29,1
0.0007707707707707707,29,1
0.0007807807807807808,29,1
0.0007907907907907908,28,1
0.0008008008008008008,28,1
0.0008108108108108108,27,1
0.0008208208208208208,27,1
0.0008308308308308308,26,1
0.0008408408408408408,26,1
0.0008508508508508508,26,1
0.0008608608608608609,25,1
0.0008708708708708709,25,1
0.0008808808808808808,25,1
0.0008908908908908909,25,1
0.0009009009009009009,24,1
0.0009109109109109108,24,1
0.0009209209209209209,24,1
0.0009309309309309309,24,1
0.000940940940940941,23,1
0.0009509509509509509,23,1
0.0009609609609609609,23,1
0.000970970970970971,23,1
0.000980980980980981,23,1
0.000990990990990991,23,1
0.001001001001001001,23,1
0.001011011011011011,23,1
0.001021021021021021,23,1
0.001031031031031031,23,1
0.001041041041041041,23,1
0.001051051051051051,23,1
0.001061061061061061,23,1
0.001071071071071071,23,1
0.001081081081081081,23,1
0.001091091091091091,23,1
0.0011011011011011012,23,1
0.0011111111111111111,23,1
0.001121121121121121,23,1
0.0011311311311311312,23,1
0.0011411411411411411,23,1
0.001151151151151151,23,1
0.0011611611611611612,23,1
0.0011711711711711711,23,1
0.001181181181181181,23,1
0.0011911911911911912,23,1
0.0012012012012012011,23,1
0.001211211211211211,23,1
0.0012212212212212212,23,1
0.0012312312312312312,22,1
0.0012412412412412413,22,1
0.0012512512512512512,22,1
0.0012612612612612612,22,1
0.0012712712712712713,22,1
0.0012812812812812813,22,1
0.0012912912912912912,22,1
0.0013013013013013013,22,1
0.0013113113113113113,22,1
0.0013213213213213212,22,1
0.0013313313313313313,22,1
0.0013413413413413413,22,1
0.0013513513513513514,22,1
0.0013613613613613614,22,1
0.0013713713713713713,22,1
0.0013813813813813814,22,1
0.0013913913913913914,22,1
0.0014014014014014013,22,1
0.0014114114114114115,22,1
0.0014214214214214214,22,1
0.0014314314314314313,22,1
0.0014414414414414415,21,1
0.0014514514514514514,21,1
0.0014614614614614613,21,1
0.0014714714714714715,21,1
0.0014814814814814814,21,1
0.0014914914914914916,21,1
0.0015015015015015015,21,1
0.0015115115115115114,21,1
0.0015215215215215216,21,1
0.0015315315315315315,21,1
0.0015415415415415414,21,1
0.0015515515515515516,21,1
0.0015615615615615615,21,1
0.0015715715715715714,21,1
0.0015815815815815816,21,1
0.0015915915915915915,21,1
0.0016016016016016017,21,1
0.0016116116116116116,21,1
0.0016216216216216215,21,1
0.0016316316316316317,21,1
0.0016416416416416416,21,1
0.0016516516516516516,21,1
0.0016616616616616617,21,1
0.0016716716716716716,20,1
0.0016816816816816816,20,1
0.0016916916916916917,20,1
0.0017017017017017016,20,1
0.0017117117117117116,20,1
0.0017217217217217217,20,1
0.0017317317317317317,20,1
0.0017417417417417418,20,1
0.0017517517517517517,20,1
0.0017617617617617617,20,1
0.0017717717717717718,20,1
0.0017817817817817817,20,1
0.0017917917917917917,20,1
0.0018018018018018018,20,1
0.0018118118118118118,20,1
0.0018218218218218217,20,1
0.0018318318318318318,20,1
0.0018418418418418418,20,1
0.0018518518518518517,20,1
0.0018618618618618619,20,1
0.0018718718718718718,20,1
0.001881881881881882,20,1
0.0018918918918918919,20,1
0.0019019019019019018,20,1
0.001911911911911912,20,1
0.0019219219219219219,19,1
0.0019319319319319318,19,1
0.001941941941941942,19,1
0.001951951951951952,19,1
0.001961961961961962,19,1
0.001971971971971972,19,1
0.001981981981981982,19,1
0.001991991991991992,19,1
0.002002002002002002,19,1
0.002012012012012012,19,1
0.002022022022022022,19,1
0.002032032032032032,19,1
0.002042042042042042,19,1
0.002052052052052052,19,1
0.002062062062062062,18,1
0.002072072072072072,18,1
0.002082082082082082,18,1
0.002092092092092092,18,1
0.002102102102102102,18,1
0.002112112112112112,17,1
0.002122122122122122,17,1
0.002132132132132132,17,1
0.002142142142142142,17,1
0.002152152152152152,17,1
0.002162162162162162,17,1
0.002172172172172172,17,1
0.002182182182182182,17,1
0.002192192192192192,17,1
0.0022022022022022024,17,1
0.002212212212212212,17,1
0.0022222222222222222,16,1
0.0022322322322322324,16,1
0.002242242242242242,15,1
0.0022522522522522522,15,1
0.0022622622622622624,15,1
0.002272272272272272,15,1
0.0022822822822822822,15,1
0.0022922922922922924,15,1
0.002302302302302302,15,1
0.0023123123123123123,15,1
0.0023223223223223224,15,1
0.002332332332332332,15,1
0.0023423423423423423,15,1
0.0023523523523523524,15,1
0.002362362362362362,15,1
0.0023723723723723723,15,1
0.0023823823823823824,15,1
0.002392392392392392,15,1
0.0024024024024024023,15,1
0.0024124124124124124,15,1
0.002422422422422422,15,1
0.0024324324324324323,15,1
0.0024424424424424425,15,1
0.0024524524524524526,15,1
0.0024624624624624623,15,1
0.0024724724724724725,15,1
0.0024824824824824826,15,1
0.0024924924924924923,15,1
0.0025025025025025025,15,1
0.0025125125125125126,15,1
0.0025225225225225223,15,1
0.0025325325325325325,15,1
0.0025425425425425426,15,1
0.0025525525525525524,15,1
0.0025625625625625625,15,1
0.0025725725725725727,15,1
0.0025825825825825824,15,1
0.0025925925925925925,15,1
0.0026026026026026027,15,1
0.0026126126126126124,15,1
0.0026226226226226225,15,1
0.0026326326326326327,15,1
0.0026426426426426424,15,1
0.0026526526526526525,15,1
0.0026626626626626627,15,1
0.0026726726726726724,15,1
0.0026826826826826826,15,1
0.0026926926926926927,15,1
0.002702702702702703,15,1
0.0027127127127127126,15,1
0.0027227227227227227,15,1
0.002732732732732733,15,1
0.0027427427427427426,15,1
0.0027527527527527527,15,1
0.002762762762762763,15,1
0.0027727727727727726,15,1
0.0027827827827827827,15,1
0.002792792792792793,15,1
0.0028028028028028026,15,1
0.0028128128128128128,15,1
0.002822822822822823,15,1
0.0028328328328328326,15,1
0.0028428428428428428,15,1
0.002852852852852853,15,1
0.0028628628628628626,15,1
0.0028728728728728728,15,1
0.002882882882882883,15,1
0.0028928928928928926,15,1
0.002902902902902903,15,1
