External_Assets,Lent_Funds,Borrowed_Funds,LMI,First_Order_Neighbor_Default_Rate,Loan_Count_Number_of_Creditors,In_Degree_Centrality,Out_Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,PageRank,Average_Indegree_of_In_Neighbors,Basic_Default,y
0.9668508287292817,0.9723756906077348,0.9834254143646409,0.0718232044198895,0.11049723756906077,0.9558011049723757,0.9558011049723757,0.9779005524861878,0.9779005524861878,0.9723756906077348,0.9558011049723757,0.055248618784530384,1,1
0.7569060773480663,0.9171270718232044,0.8950276243093923,0.7845303867403315,0.585635359116022,0.8895027624309392,0.8895027624309392,0.861878453038674,0.861878453038674,0.856353591160221,0.8784530386740331,0.143646408839779,0,1
0.0055248618784530384,0.9502762430939227,0.8397790055248618,0.9834254143646409,0.43646408839779005,0.9337016574585635,0.9337016574585635,0.7734806629834254,0.7734806629834254,0.861878453038674,0.9337016574585635,0.07734806629834254,1,1
1.0,1.0,0.9779005524861878,0.32044198895027626,0.143646408839779,1.0,1.0,0.9834254143646409,0.9834254143646409,1.0,1.0,0.011049723756906077,0,0
0.9834254143646409,0.9779005524861878,0.994475138121547,0.13259668508287292,0.12154696132596685,0.9834254143646409,0.9834254143646409,0.994475138121547,0.994475138121547,0.9834254143646409,0.9834254143646409,0.03314917127071823,0,0
0.988950276243094,0.988950276243094,1.0,0.1878453038674033,0.15469613259668508,0.988950276243094,0.988950276243094,1.0,1.0,0.994475138121547,0.988950276243094,0.022099447513812154,0,0
0.9779005524861878,0.994475138121547,0.988950276243094,0.23204419889502761,0.13812154696132597,0.994475138121547,0.994475138121547,0.994475138121547,0.994475138121547,0.988950276243094,0.994475138121547,0.016574585635359115,0,0
0.9613259668508287,0.9558011049723757,0.9723756906077348,0.07734806629834254,0.10497237569060773,0.9392265193370166,0.9392265193370166,0.9668508287292817,0.9668508287292817,0.9613259668508287,0.9392265193370166,0.0718232044198895,1,1
0.8895027624309392,0.8729281767955801,0.9116022099447514,0.06629834254143646,0.1712707182320442,0.7845303867403315,0.7845303867403315,0.8895027624309392,0.8895027624309392,0.850828729281768,0.7900552486187845,0.2430939226519337,1,1
0.994475138121547,0.9834254143646409,0.9668508287292817,0.24861878453038674,0.1270718232044199,0.9834254143646409,0.9834254143646409,0.9723756906077348,0.9723756906077348,0.9779005524861878,0.9779005524861878,0.03314917127071823,0,0
0.9558011049723757,0.9668508287292817,0.9502762430939227,0.35911602209944754,0.18232044198895028,0.9447513812154696,0.9447513812154696,0.9392265193370166,0.9392265193370166,0.9502762430939227,0.9447513812154696,0.06629834254143646,0,1
0.9337016574585635,0.9281767955801105,0.9171270718232044,0.3314917127071823,0.35359116022099446,0.8895027624309392,0.8895027624309392,0.8950276243093923,0.8950276243093923,0.9116022099447514,0.8895027624309392,0.143646408839779,0,0
0.9281767955801105,0.9337016574585635,0.9613259668508287,0.055248618784530384,0.13259668508287292,0.9005524861878453,0.9005524861878453,0.9558011049723757,0.9558011049723757,0.9447513812154696,0.9005524861878453,0.11602209944751381,1,1
0.9392265193370166,0.9447513812154696,0.9447513812154696,0.2541436464088398,0.20441988950276244,0.9226519337016574,0.9226519337016574,0.9281767955801105,0.9281767955801105,0.9281767955801105,0.9226519337016574,0.08839779005524862,0,1
0.9502762430939227,0.9392265193370166,0.9558011049723757,0.09944751381215469,0.16022099447513813,0.9116022099447514,0.9116022099447514,0.9447513812154696,0.9447513812154696,0.9392265193370166,0.9116022099447514,0.10497237569060773,1,1
0.9447513812154696,0.9005524861878453,0.9392265193370166,0.11602209944751381,0.2430939226519337,0.861878453038674,0.861878453038674,0.9226519337016574,0.9226519337016574,0.9171270718232044,0.861878453038674,0.16574585635359115,0,1
